Category,References,Value,Stock Code,Unit Cost,Description,Group Layer,PCB Package,Supplier,Placed
Resistors,R25,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
Resistors,R26,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
Resistors,R27,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
Resistors,R28,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
Resistors,R29,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
Resistors,R30,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
Resistors,R31,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
Resistors,R32,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
Resistors,R33,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
Resistors,R34,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites2,RES40,,Not placed
