Pre-production check start.
File: C:\Work\BombJack\V8.0\Bomb Jack - All - Routed.pdsprj
Date: 17 November 2021, 09:58:27
Missing connection: U90:1, EXPANSIONBUSP5:B15
Missing connection: EXPANSIONBUSP1:B15, U13:13
Missing connection: U9:4, EXPANSIONBUSP5:B17
Missing connection: U20:2, EXPANSIONBUSP4:B17
Missing connection: EXPANSIONBUSH1:B17, 6N6:1
Missing connection: U363:1, EXPANSIONBUSP3:B17
Missing connection: U90:4, EXPANSIONBUSP5:B17
Missing connection: 7R:2, U13:4
Missing connection: U13:10, EXPANSIONBUSP4:B18
Missing connection: U9:10, EXPANSIONBUSP5:B18
Missing connection: EXPANSIONBUSH1:B18, 6N6:2
Missing connection: U363:4, EXPANSIONBUSP3:B18
Missing connection: U90:10, U153:5
Missing connection: 7R:3, U13:10
Missing connection: U4:11, EXPANSIONBUSP5:A11
Missing connection: L2E:2, EXPANSIONBUSP4:A11
Missing connection: U62:3, EXPANSIONBUSP5:A11
Missing connection: EXPANSIONBUSH1:A11, U29:10
Missing connection: U319:11, EXPANSIONBUSP3:A11
Missing connection: 6F2:5, EXPANSIONBUSP4:A11
Missing connection: U4:14, EXPANSIONBUSP5:A12
Missing connection: EXPANSIONBUSH1:A12, U29:13
Missing connection: U46:13, EXPANSIONBUSP4:A12
Missing connection: U251:14, EXPANSIONBUSP5:A12
Missing connection: U319:14, EXPANSIONBUSP3:A12
Missing connection: 6F2:14, EXPANSIONBUSP4:A12
Missing connection: U2:3, EXPANSIONBUSP5:B8
Missing connection: U47:3, EXPANSIONBUSP4:B8
Missing connection: EXPANSIONBUSH1:B8, U30:3
Missing connection: U318:2, EXPANSIONBUSP3:B8
Missing connection: U30:3, EXPANSIONBUSP5:B8
Missing connection: 6F2:11, EXPANSIONBUSP4:B8
Missing connection: U2:6, EXPANSIONBUSP5:B9
Missing connection: EXPANSIONBUSH1:B9, U30:6
Missing connection: U47:6, EXPANSIONBUSP4:B9
Missing connection: 6D2:2, EXPANSIONBUSP3:B9
Missing connection: U318:5, EXPANSIONBUSP3:B9
Missing connection: U30:6, EXPANSIONBUSP5:B9
Missing connection: U2:10, EXPANSIONBUSP5:B11
Missing connection: EXPANSIONBUSH1:B11, U30:10
Missing connection: U47:10, EXPANSIONBUSP4:B11
Missing connection: 6D2:5, EXPANSIONBUSP3:B11
Missing connection: U318:11, EXPANSIONBUSP3:B11
Missing connection: U249:2, EXPANSIONBUSP5:B11
Missing connection: U2:13, EXPANSIONBUSP5:B12
Missing connection: EXPANSIONBUSH1:B12, U30:13
Missing connection: EXPANSIONBUSP4:B12, U47:13
Missing connection: EXPANSIONBUSP3:B12, U47:13
Missing connection: U249:3, EXPANSIONBUSP5:B12
Missing connection: U318:14, EXPANSIONBUSP3:B12
Missing connection: 6D2:14, EXPANSIONBUSP3:B12
Missing connection: U7:2, EXPANSIONBUSP5:A14
Missing connection: U253:2, U145:2
Missing connection: EXPANSIONBUSH1:A14, U31:3
Missing connection: U253:2, EXPANSIONBUSP5:A14
Missing connection: U48:3, EXPANSIONBUSP4:A14
Missing connection: 6D2:11, EXPANSIONBUSP3:A14
Missing connection: U349:2, EXPANSIONBUSP3:A14
Missing connection: U253:5, U145:5
Missing connection: U7:5, EXPANSIONBUSP5:A15
Missing connection: U85:14, EXPANSIONBUSP4:A15
Missing connection: U315:2, EXPANSIONBUSP3:A15
Missing connection: EXPANSIONBUSH1:A15, U31:6
Missing connection: U87:2, EXPANSIONBUSP3:A15
Missing connection: EXPANSIONBUSH1:A20, JP18:2
Missing connection: JP34:2, EXPANSIONBUSP5:A20
Missing connection: JP2:2, EXPANSIONBUSP4:A20
Missing connection: U52:11, JP26:2
Missing connection: EXPANSIONBUSP2:A20, JP42:2
Missing connection: JP50:2, EXPANSIONBUSP3:A20
