Category,Quantity,References,Value,Stock Code,Unit Cost,Description
Miscellaneous,7,"4L6,5E2,5H,5L6,6E,6F,6S7",74273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NE4?qs=sGAEpiMZZMvxP%252Bvr8KwMwF73%2FSEETFlcw32YC66%252Bjxg%3D,£0.90,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear
Miscellaneous,4,"4M,5M,7S,8D2",74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,£0.72,3-Line to 8-Line Decoders/Demultiplexers
Miscellaneous,8,"4M6,4S7,5S7,6R,6S,7A2,7E,8B2",74LS174,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS174N?qs=%2Fha2pyFadugqDRhw3C%2FQ8X6a6hwoxKy6iKJc85BJA4M%3D,£0.90,Hex D-Type Positive-Edge-Triggered Flip-Flops With Clear
Miscellaneous,4,"4P,4S,5P,E7P",7474,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS74ANE4?qs=%2Fha2pyFaduisezm8rmvWidBAnd8e%2F0Kj57shzdZeHHc%3D,£0.72,Dual Positive-Edge-Triggered D-Type Flip-Flops With Clear And Preset
Miscellaneous,10,"4P7,7J,7L,7M,8E6,8H6,8K6,8L7,8N7,8R7",2764,https://www.jameco.com/shop/StoreCatalogDrillDownView?langId=-1&storeId=10001&catalogId=10001&freeText=eprom%202764&search_type=jamecoall,£5.00,64K (8Kx8) EPROM
Miscellaneous,1,4T,74368,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS368AN?qs=%2Fha2pyFadug6ZOj3cmpD6YwUi6dGmUUQRqKJDT%2FBvsw%3D,,Hex Buffers/Line Drivers with Inverting Tristate Outputs
Miscellaneous,2,"5E,5F",74283,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS283NE4?qs=sGAEpiMZZMuV4z%252BhZ4pm1L11UKYaBimF7vh839uxJBE%3D,£1.30,4-Bit Binary Full Adders With Fast Carry
Miscellaneous,4,"5F8,5H8,5J8,5K8",74153,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS153N?qs=%2Fha2pyFaduiKvNoFphi6HlKGeKB98vZDSnL2nsGsGDQ%3D,£0.98,Dual 1-of-4 Data Selectors/Multiplexers
Miscellaneous,18,"5J,5K,5L,6J,6K,6L,7D6,7E6,7F6,7H6,7J6,7K6,7L7,7M7,7N7,7P7,7R7,7S7",74194,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS194AN?qs=%2Fha2pyFadujYU8BF2jKu2xc2zlYRxRNCxtAdpWgTaU4%3D,£1.25,4-Bit Bidirectional Universal Shift Registers
Miscellaneous,2,"5R,5S",7485,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS85N?qs=%2Fha2pyFadujWUs9azztjOlpLCPvFTfozqJRbtmiwunU%3D,£1.87,4-Bit Magnitude Comparator
Miscellaneous,4,"6A,6B,6C,6D",74163,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS163AN?qs=sGAEpiMZZMtdY2G%252BSI3N4aQvQNXOTGN6zp2qU1pEmtI%3D,£0.90,Synchronous 4-Bit Binary Counters
Miscellaneous,1,6LM6,6116,https://www.jameco.com/z/6116P-70-Major-Brands-IC-6116P-70-Static-RAM-2Kx8-DIP-24-pin-70-ns_242675.html,£7.08,16K (2Kx8) Static RAM
Miscellaneous,1,7D,74LS21,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS21NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOS8GB5LKZP7E%3D,£0.62,Dual 4-Input Positive-AND Gates
Miscellaneous,2,BTN1-BTN2,BUTTON,,,SPST Push Button
Miscellaneous,1,E6P,7402,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS02NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOw9uqInhsB60%3D,£0.72,Quadruple 2-Input Positive-NOR Gates
