Category,References,Value,Stock Code,Description,Group Layer,PCB Package,Supplier,Placed
Resistors,R7,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R8,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R9,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R10,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R11,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R12,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R13,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R14,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R15,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R16,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,Digital Primitive Model Of A Pull-Up Resistor,Sprites,NULL,,Not placed
Resistors,R17,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R18,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R19,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R20,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R21,220,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55220R00FHEK?qs=UEmB0FaNOjg2TC4qgSAJvQ%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R22,220,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55220R00FHEK?qs=UEmB0FaNOjg2TC4qgSAJvQ%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R23,75,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF5575R000FHEB?qs=M0%2FukCt83fAn7GYP4qi24A%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R24,75,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF5575R000FHEB?qs=M0%2FukCt83fAn7GYP4qi24A%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R25,75,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF5575R000FHEB?qs=M0%2FukCt83fAn7GYP4qi24A%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R39,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R40,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R41,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R42,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R43,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R44,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R45,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R46,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
