Category,Quantity,References,Value,Stock Code,Description,Group Layer,PCB Package,Supplier,Placed
Integrated Circuits,2,"U13,U429",74LS00,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS00DR?qs=p6YqzpSxLIxQ8nxlHdhQUQ%3D%3D,Quadruple 2-Input Positive-NAND Gates,Sprites,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Not placed
Integrated Circuits,14,"U14,U55,U75,U138,U156,U315,U350,U355,U357,U376,U392,U437,U583,U596",7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32DR?qs=SL3LIuy2dWwtfBSQ6o0JPg%3D%3D,Quad 2-input positive-OR gates,Sprites2,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Top Copper
Integrated Circuits,1,U17,7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04DR?qs=SL3LIuy2dWzOhepjTMFpMg%3D%3D,Hex Inverters,Chars,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Not placed
Integrated Circuits,4,"U19,U45,U53,U58",74LS373,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373DWR?qs=4FFjqLL55bR6x3WZek%252BFgQ%3D%3D,Octal D-Type Transparent Latches with 3-state Outputs,Sprites,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Not placed
Integrated Circuits,3,"U20,U340,U500",7427,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS27DR?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQIfOvGfytTqpc%3D,Triple 3-Input Positive NOR Gates,Sprites2,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Top Copper
Integrated Circuits,1,U21,74LS21,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS21DR?qs=SL3LIuy2dWyPPAPwa0NRqg%3D%3D,Dual 4-Input Positive-AND Gates,Sprites,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Not placed
Integrated Circuits,2,"U22,U50",74194,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS194AD?qs=SL3LIuy2dWyQbcrd0iQ7mw%3D%3D,4-Bit Bidirectional Universal Shift Registers,Sprites,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Not placed
Integrated Circuits,2,"U23,U73",7402,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS02DR?qs=SL3LIuy2dWwMb1IRls9bqA%3D%3D,Quadruple 2-Input Positive-NOR Gates,Video,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Not placed
Integrated Circuits,3,"U24,U54,U94",7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32DR?qs=SL3LIuy2dWwtfBSQ6o0JPg%3D%3D,Quad 2-input positive-OR gates,Video,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Not placed
Integrated Circuits,10,"U25,U213,U216,U255,U256,U259,U263,U264,U284,U484",74273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NSR?qs=SL3LIuy2dWxsq%2FCTeVMKZg%3D%3D,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Video,SOIC127P780X200-20N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Not placed
Integrated Circuits,2,"U26,U34",6264FAST,https://www.mouser.sg/ProductDetail/Alliance-Memory/AS6C6264-55PCN?qs=sGAEpiMZZMt9mBA6nIyysDfDw0vDQxSwL3Jgh6owPVw%3D,64K (8Kx8) Static RAM,Video,DIL28CAP20,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-628-41-801000?qs=%2Fha2pyFaduj2Vn9jTBaNkbbuPoiuMRTWeD8fU3A14YCfUCD0%252BtDLsfAVe9w3OSTn,Not placed
Integrated Circuits,6,"U28,U35,U36,U40,U221,U257",74LS373,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373DWR?qs=4FFjqLL55bR6x3WZek%252BFgQ%3D%3D,Octal D-Type Transparent Latches with 3-state Outputs,Chars,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Not placed
Integrated Circuits,11,"U29,U30,U31,U32,U57,U154,U155,U251,U252,U253,U254",74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157DR?qs=SL3LIuy2dWw%2F%252Bp7AA8LUjg%3D%3D,Quadruple 1-of-2 Data Selectors/Multiplexers,Chars,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Not placed
Integrated Circuits,1,U33,74S139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139ADR?qs=SL3LIuy2dWwpYzaAOf%252BnlA%3D%3D,Dual 2-Line to 4-Line Decoders/Demultiplexers,Chars,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Not placed
Integrated Circuits,2,"U37,U38",74194,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS194AD?qs=SL3LIuy2dWyQbcrd0iQ7mw%3D%3D,4-Bit Bidirectional Universal Shift Registers,Chars,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Not placed
