Category,References,Value,Stock Code,Unit Cost,Description,Group Layer,PCB Package,Supplier,Placed
Integrated Circuits,U107,7485,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS85N?qs=%2Fha2pyFadujWUs9azztjOlpLCPvFTfozqJRbtmiwunU%3D,,4-Bit Magnitude Comparator,Audio,DIL16,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Top Copper
Integrated Circuits,U108,7485,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS85N?qs=%2Fha2pyFadujWUs9azztjOlpLCPvFTfozqJRbtmiwunU%3D,,4-Bit Magnitude Comparator,Audio,DIL16,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Top Copper
Integrated Circuits,U109,7485,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS85N?qs=%2Fha2pyFadujWUs9azztjOlpLCPvFTfozqJRbtmiwunU%3D,,4-Bit Magnitude Comparator,Audio,DIL16,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Top Copper
Integrated Circuits,U110,7485,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS85N?qs=%2Fha2pyFadujWUs9azztjOlpLCPvFTfozqJRbtmiwunU%3D,,4-Bit Magnitude Comparator,Audio,DIL16,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Top Copper
Integrated Circuits,U111,7408,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS08NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOfW4A%252BAFGoNk%3D,,Quadruple 2-Input Positive-AND Gates,Audio,DIL14,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Top Copper
Integrated Circuits,U112,7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmO7x4PfQeTHF4%3D,,Quad 2-input positive-OR gates,Audio,DIL14,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Top Copper
Integrated Circuits,U113,74S374,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374NE4?qs=SL3LIuy2dWwBzzpDJsDv8A%3D%3D,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio,DIL20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
Integrated Circuits,U114,74S374,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374NE4?qs=SL3LIuy2dWwBzzpDJsDv8A%3D%3D,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio,DIL20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
Integrated Circuits,U115,74S374,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374NE4?qs=SL3LIuy2dWwBzzpDJsDv8A%3D%3D,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio,DIL20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
Integrated Circuits,U116,74S374,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374NE4?qs=SL3LIuy2dWwBzzpDJsDv8A%3D%3D,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio,DIL20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
Integrated Circuits,U117,74LS373,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373NE4?qs=sGAEpiMZZMu2QtOrmdJ1%2FRPDYI7IXkrB2H7gdWq7qaw%3D,,Octal D-Type Transparent Latches with 3-state Outputs,Audio,DIL20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
Integrated Circuits,U118,74LS373,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373NE4?qs=sGAEpiMZZMu2QtOrmdJ1%2FRPDYI7IXkrB2H7gdWq7qaw%3D,,Octal D-Type Transparent Latches with 3-state Outputs,Audio,DIL20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
Integrated Circuits,U119,74S374,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374NE4?qs=SL3LIuy2dWwBzzpDJsDv8A%3D%3D,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio,DIL20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
Integrated Circuits,U120,7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmO7x4PfQeTHF4%3D,,Quad 2-input positive-OR gates,Audio,DIL14,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Top Copper
